sensor,site_name,model,site_description_fr,site_description_en
A1,Amont,In-Situ AquaTroll 500,"Capteur In-Situ installé dans un tube métallique fixé à des enrochements sur rive droite, juste après un petit pont en béton. Capteur installé dans une zone à débit moyen/fort avec profondeur de plus de 1m. Le capteur est installé à environ 20cm sous la surface de l'eau. Ce capteur n'est influencer par aucun des rejets d'eau de l'EPFL.","In-Situ sensor installed in a metal tube fixed to riprap on the right bank, just after a small concrete bridge. Sensor installed in a medium/strong flow zone with a depth of more than 1m. The sensor is installed about 20cm below the water surface. This sensor is not influenced by any water discharges from EPFL."
A2,BAM,In-Situ AquaTroll 500,"Capteur In-Situ installé dans un tube métallique fixé à des enrochements sur rive gauche, sur l'extérieur d'un virage juste après l'exutoire d'un bassin de rétention d'eau en cas de fortes crues. Capteur installé dans une zone à débit moyen avec profondeur d'environ 80cm. Le capteur est installé à environ 20cm sous la surface de l'eau. Ce capteur est influencé par un rejet d'eau de ruisselement nommé rejet ""Triaudes"" ainsi que par un rejet d'eau industrielle nommé ""SwissTech"".","In-Situ sensor installed in a metal tube fixed to riprap on the left bank, on the outside of a river bend just after the outlet of a water retention basin for floods. Sensor installed in a medium flow zone with a depth of about 80cm. The sensor is installed about 20cm below the water surface. This sensor is influenced by a stormwater discharge called ""Triaudes"" and an industrial water discharge called ""SwissTech."""
A3,Principal,In-Situ AquaTroll 500,"Capteur In-Situ installé directement à la sortie d'un exutoire d'eau industrielle et de ruisselement. Le capteur est installé dans un tube métallique fixé le long d'un mur faisant partie de la chambre de rétention des eaux provenant de l'exutoire. Capteur installé dans une zone à débit moyen à faible en fonction des rejets avec profondeur d'environ 60cm. Le capteur est installé à environ 20cm sous la surface de l'eau. Ce capteur est influencé par un rejet contenant des eaux de ruisselement et industrielles nommé ""Principal"".","In-Situ sensor installed directly at the exit of an industrial and stormwater outlet. The sensor is installed in a metal tube attached along a wall that is part of the retention chamber for the outlet water. Sensor installed in a medium to low flow zone depending on discharges with a depth of about 60cm. The sensor is installed about 20cm below the water surface. This sensor is influenced by a discharge containing stormwater and industrial water named ""Principal."""
A4,CCTamont ,In-Situ AquaTroll 500,"Capteur In-Situ installé dans un tube métallique fixé à des enrochements sur rive droite. Capteur installé dans une zone à débit moyen/fort avec profondeur d'environ 65cm. Le capteur est installé à environ 25cm sous la surface de l'eau. Ce capteurs est influencés par les rejets d'eau industrielles ""Swisstech"", ""Principal"" et ""Physique"" ainsi que par le rejet d'eau de ruisselement ""Triaudes"".","In-Situ sensor installed in a metal tube fixed to riprap on the right bank. Sensor installed in a medium/strong flow zone with a depth of about 65cm. The sensor is installed about 25cm below the water surface. This sensor is influenced by industrial water discharges ""SwissTech,"" ""Principal,"" and ""Physique"" as well as the stormwater discharge ""Triaudes."""
A5,CCTaval,In-Situ AquaTroll 500,"Capteur In-Situ installé en rive droite dans un tube métallique fixé à son extrémité suppérieur à une racine et fixé à son extrémité inférieur dans l'argile consituant le lit de la rivière. Capteur installé dans une zone à débit moyen avec profondeur d'environ 65cm. Le capteur est installé à environ 25cm sous la surface de l'eau. Ce capteur est influencé par tous les rejets provenant de l'EPFL, soit les rejets ""Triaudes"", ""SwissTech"", ""Principal"",""Physique"",""CCT1"" et ""CCT2"".","In-Situ sensor installed on the right bank in a metal tube attached to its upper end to a root and fixed to its lower end in the clay bed of the river. Sensor installed in a medium flow zone with a depth of about 65cm. The sensor is installed about 25cm below the water surface. This sensor is influenced by all the discharges from EPFL, including ""Triaudes,"" ""SwissTech,"" ""Principal,"" ""Physique,"" ""CCT1,"" and ""CCT2."""
A6,Aval,In-Situ AquaTroll 500,"Capteur In-Situ installé dans un tube métallique fixé à des enrochements sur rive gauche, juste après un tunnel passant sous une route et une voie de trame. Capteur installé dans une zone à débit moyen/fort avec profondeur d'environ 80cm. Le capteur est installé à environ 15cm sous la surface de l'eau. Ce capteur est influencé par tous les rejets provenant de l'EPFL ainsi que par deux rejets provenant de l'Unil.","In-Situ sensor installed in a metal tube fixed to riprap on the left bank, just after a tunnel under a road and a railway. Sensor installed in a medium/strong flow zone with a depth of about 80cm. The sensor is installed about 15cm below the water surface. This sensor is influenced by all discharges from EPFL and two discharges from UNIL."
B1,B1,Ruskin RBR Solo,"Capteur Ruskin installé sur un pieu métallique en rive droite de la rivière. Le capteur se trouve en amont de tous les rejets provenant de l'EPFL. Il a été installé dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 50cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a metal pole on the right bank of the river. The sensor is upstream of all discharges from EPFL. It is installed in a medium flow zone, with a water depth of about 50cm. The sensor is fully submerged."
B2,B2,Ruskin RBR Solo,"Capteur Ruskin installé sur un pieu métallique en rive droite de la rivière. Le capteur se trouve après un rejet d'eau de ruissellement provenant de l'EPFL. Il a été installé dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 100cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a metal pole on the right bank of the river. The sensor is after a stormwater discharge from EPFL. It is installed in a medium flow zone, with a water depth of about 100cm. The sensor is fully submerged."
B3,B3,Ruskin RBR Solo,"Capteur Ruskin installé à une racine en rive droite de la rivière. Le capteur se trouve après un rejet d'eau industrielle provenant de l'EPFL. Il a été installé dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 100cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a root on the right bank of the river. The sensor is after an industrial water discharge from EPFL. It is installed in a medium flow zone, with a water depth of about 100cm. The sensor is fully submerged."
B4,B4,Ruskin RBR Solo,"Capteur Ruskin installé à une racine en rive gauche de la rivière. Le capteur a été installé dans une zone avec un courant moyen, avec un hauteur d'eau d'environ 45cm. Le capteurs est totalement immergé.","Ruskin sensor installed on a root on the left bank of the river. The sensor is installed in a medium flow zone, with a water depth of about 45cm. The sensor is fully submerged."
